program_type,taxon,common_name,genus_name,species_name,scientific_name,subspecies
SSP,Reptile,"Gecko, Giant Leaf-Tailed",Uroplatus,fimbriatus,Uroplatus fimbriatus,
SSP,Reptile,"Gecko, Henkel's Leaf-Tailed",Uroplatus,henkeli,Uroplatus henkeli,
SSP,Reptile,"Gharial, Sunda",Tomistoma,schlegelii,Tomistoma schlegelii,
SSP,Mammal,"Gibbon, Lar (White-Handed)",Hylobates,lar,Hylobates lar,
SSP,Mammal,"Gibbon, White-Cheeked",Nomascus,leucogenys,Nomascus leucogenys,
SSP,Mammal,"Giraffe, Generic",Giraffa,camelopardalis,Giraffa camelopardalis,
SSP,Mammal,"Giraffe, Masai",Giraffa,camelopardalis,Giraffa camelopardalis,tippelskirchi
SSP,Bird,"Goose, African Pygmy",Nettapus,auritus,Nettapus auritus,
SSP,Bird,"Goose, Red-Breasted",Branta,ruficollis,Branta ruficollis,
SSP,Bird,"Goose, Swan",Anser,cygnoid,Anser cygnoid,
SSP,Mammal,"Gorilla, Western Lowland",Gorilla,gorilla,Gorilla gorilla,
SSP,Bird,"Guineafowl, Crested",Guttera,pucherani,Guttera pucherani,
SSP,Bird,Hamerkop,Scopus,umbretta,Scopus umbretta,
SSP,Bird,"Heron, Boat-Billed",Cochlearius,cochlearius,Cochlearius cochlearius,
SSP,Mammal,"Hippopotamus, Pygmy",Choeropsis,liberiensis,Choeropsis liberiensis,
SSP,Mammal,"Hippopotamus, River",Hippopotamus,amphibius,Hippopotamus amphibius,amphibius
SSP,Mammal,"Hog, Red River",Potamochoerus,porcus,Potamochoerus porcus,
SSP,Bird,"Honeyeater, Blue-Faced",Entomyzon,cyanotis,Entomyzon cyanotis,
SSP,Bird,"Hornbill, Abyssinian Ground",Bucorvus,abyssinicus,Bucorvus abyssinicus,
SSP,Bird,"Hornbill, Red-Billed",Tockus,erythrorhynchus,Tockus erythrorhynchus,
SSP,Bird,"Hornbill, Rhinoceros",Buceros,rhinoceros,Buceros rhinoceros,
SSP,Bird,"Hornbill, Southern Ground",Bucorvus,leadbeateri,Bucorvus leadbeateri,
SSP,Bird,"Hornbill, Trumpeter",Bycanistes,bucinator,Bycanistes bucinator,
SSP,Bird,"Hornbill, Wrinkled",Rhabdotorrhinus,corrugatus,Rhabdotorrhinus corrugatus,
SSP,Mammal,"Horse, Asian Wild",Equus,ferus,Equus ferus,przewalskii
SSP,Bird,"Hwamei, Chinese",Garrulax ,canorus,Garrulax canorus,
SSP,Mammal,"Hyena, Spotted",Crocuta,crocuta,Crocuta crocuta,
SSP,Mammal,"Hyrax, Rock",Procavia,capensis,Procavia capensis,
SSP,Bird,"Ibis, African Sacred",Threskiornis,aethiopicus,Threskiornis aethiopicus,
SSP,Bird,"Ibis, Hadada",Bostrychia,hagedash,Bostrychia hagedash,
SSP,Bird,"Ibis, Scarlet",Eudocimus,ruber,Eudocimus ruber,
SSP,Bird,"Ibis, Waldrapp",Geronticus,eremita,Geronticus eremita,
SSP,Reptile,"Iguana, Fiji Banded",Brachylophus,bulabula,Brachylophus bulabula,
SSP,Reptile,"Iguana, Grand Cayman Blue",Cyclura,lewisi,Cyclura lewisi,
SSP,Reptile,"Iguana, Jamaican",Cyclura,collei,Cyclura collei,
SSP,Mammal,Jaguar,Panthera,onca,Panthera onca,
SSP,Bird,"Jay, Plush Crested",Cyanocorax,chrysops,Cyanocorax chrysops,
SSP,Mammal,"Kangaroo, Red",Osphranter,rufus,Osphranter rufus,
SSP,Mammal,"Kangaroo, Western Gray",Macropus,fuliginosus,Macropus fuliginosus,melanops
SSP,Bird,"Kookaburra, Laughing",Dacelo,novaeguineae,Dacelo novaeguineae,
SSP,Mammal,"Kudu, Lesser",Tragelaphus,imberbis,Tragelaphus imberbis,
SSP,Mammal,"Langur, Francois'",Trachypithecus,francoisi,Trachypithecus francoisi,
SSP,Bird,"Lapwing, Masked",Vanellus,miles,Vanellus miles,
SSP,Bird ,"Lapwing, Spur-Winged",Vanellus,spinosus,Vanellus spinosus,
SSP,Bird,"Laughingthrush, White-Crested",Garrulax ,leucolophus,Garrulax leucolophus,
SSP,Bird,"Leiothrix, Red-Billed",Leiothrix,lutea,Leiothrix lutea,
SSP,Mammal,"Lemur, Black and White Ruffed",Varecia,variegata,Varecia variegata,
SSP,Mammal,"Lemur, Collared",Eulemur,collaris,Eulemur collaris,
SSP,Mammal,"Lemur, Mongoose",Eulemur,mongoz,Eulemur mongoz,
SSP,Mammal,"Lemur, Red Ruffed",Varecia,rubra,Varecia rubra,
SSP,Mammal,"Lemur, Ring-Tailed",Lemur,catta,Lemur catta,
SSP,Mammal,"Leopard, Clouded",Neofelis,nebulosa,Neofelis nebulosa,
SSP,Mammal,"Leopard, Snow",Panthera,uncia,Panthera uncia,
SSP,Bird,"Liocichla, Scarlet-faced",Liocichla,ripponi,Liocichla ripponi,
SSP,Mammal,Lion,Panthera,leo,Panthera leo,
SSP,Reptile,"Lizard, Beaded",Heloderma,horridum,Heloderma horridum,
SSP,Reptile,"Lizard, Caiman",Dracaena,guianensis,Dracaena guianensis,
SSP,Reptile,"Lizard, Crocodile",Shinisaurus,crocodilurus,Shinisaurus crocodilurus,
SSP,Mammal,"Loris, Pygmy",Nycticebus,pygmaeus,Nycticebus pygmaeus,
SSP,Mammal,"Lynx, Canada",Lynx,canadensis,Lynx canadensis,
SSP,Mammal,"Macaque, Japanese",Macaca,fuscata,Macaca fuscata,
SSP,Bird,"Macaw, Blue-Throated",Ara,glaucogularis,Ara glaucogularis,
SSP,Bird,"Macaw, Hyacinth",Anodorhynchus,hyacinthinus,Anodorhynchus hyacinthinus,
SSP,Bird,"Macaw, Red-Fronted",Ara,rubrogenys,Ara rubrogenys,
SSP,Bird,"Magpie, Azure-Winged",Cyanopica,cyanus,Cyanopica cyanus,
SSP,Mammal,Mandrill,Mandrillus,sphinx,Mandrillus sphinx,
SSP,Mammal,"Mara, Patagonian",Dolichotis,patagonum,Dolichotis patagonum,
SSP,Mammal,"Marmoset, Geoffroy's",Callithrix,geoffroyi,Callithrix geoffroyi,
SSP,Mammal,Meerkat,Suricata,suricatta,Suricata suricatta,
SSP,Bird,"Merganser, Scaly-Sided",Mergus,squamatus,Mergus squamatus,
SSP,Reptile,"Monitor, Black Tree",Varanus,beccarii,Varanus beccarii,
SSP,Mammal,"Monkey, Bolivian Gray Titi",Plecturocebus,donacophilus,Plecturocebus donacophilus,
SSP,Mammal,"Monkey, Common Squirrel",Saimiri,sciureus,Saimiri sciureus,
SSP,Mammal,"Monkey, DeBrazza's",Cercopithecus,neglectus,Cercopithecus neglectus,
SSP,Mammal,"Monkey, Mexican Spider",Ateles,geoffroyi,Ateles geoffroyi,vellerosus
SSP,Mammal,"Monkey, Robust Black Spider",Ateles,fusciceps,Ateles fusciceps,rufiventris
SSP,Mammal,"Monkey, Southern Black Howler",Alouatta,caraya,Alouatta caraya,
SSP,Bird,"Motmot, Blue-Crowned",Momotus,momota,Momotus momota,
SSP,Mammal,"Muntjac, Reeves'",Muntiacus,reevesi,Muntiacus reevesi,
SSP,Bird,"Myna, Bali",Leucopsar,rothschildi,Leucopsar rothschildi,
SSP,Mammal,Ocelot,Leopardus,pardalis,Leopardus pardalis,
SSP,Mammal,Okapi,Okapia ,johnstoni,Okapia johnstoni,
SSP,Mammal,"Orangutan, Bornean",Pongo,pygmaeus,Pongo pygmaeus,
SSP,Mammal,"Orangutan, Sumatran",Pongo,abelii,Pongo abelii,
SSP,Bird,"Oropendola, Crested",Psarocolius,decumanus,Psarocolius decumanus,
SSP,Mammal,"Oryx, Scimitar-Horned",Oryx,dammah,Oryx dammah,
SSP,Mammal,"Otter, Asian Small-Clawed",Aonyx,cinereus,Aonyx cinereus,
SSP,Mammal,"Otter, North American River",Lontra,canadensis,Lontra canadensis,
SSP,Bird,"Owl, Burrowing",Athene,cunicularia,Athene cunicularia,
SSP,Bird,"Owl, Snowy",Bubo,scandiacus,Bubo scandiacus,
SSP,Bird,"Owl, Spectacled",Pulsatrix,perspicillata,Pulsatrix perspicillata,
SSP,Mammal,"Panda, Red (fulgens)",Ailurus,fulgens,Ailurus fulgens,fulgens
SSP,Mammal,"Panda, Red (refulgens)",Ailurus,fulgens ,Ailurus fulgens,refulgens (styani)
SSP,Bird,"Partridge, Crested Wood",Rollulus,rouloul,Rollulus rouloul,
SSP,Mammal,"Peccary, Chacoan",Catagonus,wagneri,Catagonus wagneri,
SSP,Bird,"Pelican, Pink-Backed",Pelecanus,rufescens,Pelecanus rufescens,
SSP,Bird,"Penguin, African",Spheniscus,demersus,Spheniscus demersus,
SSP,Bird ,"Penguin, Gentoo (ellsworthi)",Pygoscelis,papua,Pygoscelis papua,ellsworthi
SSP,Bird,"Penguin, Humboldt",Spheniscus,humboldti,Spheniscus humboldti,
SSP,Bird,"Penguin, King",Aptenodytes,patagonicus,Aptenodytes patagonicus,
SSP,Bird,"Penguin, Magellanic",Spheniscus,magellanicus,Spheniscus magellanicus,
SSP,Bird,"Penguin, Southern Rockhopper",Eudyptes,chrysocome,Eudyptes chrysocome,
SSP,Bird,"Pheasant, Palawan Peacock",Polyplectron,napoleonis,Polyplectron napoleonis,
SSP,Bird,"Pheasant, Vietnam",Lophura,edwardsi,Lophura edwardsi,
SSP,Bird,"Pigeon, Green-Naped Pheasant",Otidiphaps,nobilis,Otidiphaps nobilis,
SSP,Bird,"Pigeon, Nicobar",Caloenas,nicobarica,Caloenas nicobarica,
SSP,Bird,"Pigeon, Victoria Crowned",Goura,victoria,Goura victoria,
SSP,Bird,"Pochard, Baer's",Aythya,baeri,Aythya baeri,
SSP,Mammal,"Porcupine, Cape",Hystrix,africaeaustralis,Hystrix africaeaustralis,
SSP,Mammal,"Porcupine, North American",Erethizon,dorsatum,Erethizon dorsatum,
SSP,Mammal,"Porcupine, Prehensile-Tailed",Coendou,prehensilis,Coendou prehensilis,
SSP,Mammal,"Pudu, Chilean (Southern)",Pudu,puda,Pudu puda,
SSP,Bird,"Puffin, Tufted",Fratercula,cirrhata,Fratercula cirrhata,
SSP,Reptile,"Rattlesnake, Aruba Island",Crotalus,durissus,Crotalus durissus,unicolor
SSP,Reptile,"Rattlesnake, Eastern Massasauga",Sistrurus,catenatus,Sistrurus catenatus,
SSP,Reptile,"Rattlesnake, Santa Catalina Island",Crotalus,catalinensis,Crotalus catalinensis,
SSP,Fish,"Ray, Spotted Eagle",Aetobatus,narinari,Aetobatus narinari,
SSP,Mammal,"Rhinoceros, Eastern Black",Diceros,bicornis,Diceros bicornis,michaeli
SSP,Mammal,"Rhinoceros, Greater One-Horned",Rhinoceros,unicornis,Rhinoceros unicornis,
SSP,Mammal,"Rhinoceros, Southern White",Ceratotherium,simum,Ceratotherium simum,
SSP,Mammal,Ringtail,Bassariscus,astutus,Bassariscus astutus,
SSP,Bird,"Roadrunner, Greater",Geococcyx,californianus,Geococcyx californianus,
SSP,Bird,"Roller, Blue-Bellied",Coracias,cyanogaster,Coracias cyanogaster,
SSP,Mammal,"Saki, White-Faced",Pithecia,pithecia,Pithecia pithecia,
SSP,Bird,"Screamer, Southern ",Chauna,torquata,Chauna torquata,
SSP,Mammal,"Sea Lion, California",Zalophus,californianus,Zalophus californianus,
SSP,Fish,"Seahorse, Big Bellied",Hippocampus,abdominalis,Hippocampus abdominalis,
SSP,Fish,"Seahorse, Lined",Hippocampus,erectus,Hippocampus erectus,
SSP,Mammal,"Seal, Harbor",Phoca,vitulina,Phoca vitulina,
SSP,Bird,"Seriema, Red-Legged",Cariama,cristata,Cariama cristata,
SSP,Mammal,Serval,Leptailurus,serval,Leptailurus serval,
SSP,Bird,"Shama, White-rumped",Copsychus,malabaricus,Copsychus malabaricus,
SSP,Fish,"Shark, Sand Tiger",Carcharias,taurus,Carcharias taurus,
SSP,Fish,"Shark, Zebra",Stegostoma,tigrinum,Stegostoma tigrinum,
SSP,Mammal,Siamang,Symphalangus,syndactylus,Symphalangus syndactylus,
SSP,Reptile,"Skink, Prehensile-Tailed",Corucia,zebrata,Corucia zebrata,
SSP,Mammal,"Sloth, Hoffman's Two-Toed",Choloepus,hoffmanni,Choloepus hoffmanni,
SSP,Mammal,"Sloth, Linne's Two-Toed",Choloepus,didactylus,Choloepus didactylus,
SSP,Bird,"Spoonbill, African ",Platalea,alba,Platalea alba,
SSP,Bird,"Spoonbill, Roseate",Platalea,ajaja,Platalea ajaja,
SSP,Mammal,"Squirrel, Prevost's",Callosciurus,prevostii,Callosciurus prevostii,
SSP,Bird,"Starling, Emerald",Lamprotornis,iris,Lamprotornis iris,
SSP,Bird,"Starling, Golden-Breasted",Lamprotornis,regius,Lamprotornis regius,
SSP,Bird,"Starling, Violet-Backed (Amethyst)",Cinnyricinclus,leucogaster,Cinnyricinclus leucogaster,
SSP,Bird,"Stilt, Black-Necked",Himantopus,himantopus,Himantopus himantopus,
SSP,Fish ,"Stingray, White-Blotched River",Potamotrygon,leopoldi,Potamotrygon leopoldi,
SSP,Bird,"Stork, Abdim's (White-Bellied)",Ciconia,abdimii,Ciconia abdimii,
SSP,Bird,"Stork, Marabou",Leptoptilos,crumenifer,Leptoptilos crumenifer,
SSP,Bird,"Stork, Saddle-Billed",Ephippiorhynchus,senegalensis,Ephippiorhynchus senegalensis,
SSP,Bird,"Stork, White",Ciconia,ciconia,Ciconia ciconia,
SSP,Bird,Sunbittern,Eurypyga,helias,Eurypyga helias,
SSP,Bird,"Swan, Coscoroba",Coscoroba,coscoroba,Coscoroba coscoroba,
