taxon,common_name,genus_name,species_name,scientific_name,assessment,population_trend,assessment_scope
Mammal,"Rhinoceros, Southern White",Ceratotherium,simum,Ceratotherium simum,NT,Decreasing,Global
Mammal,Ringtail,Bassariscus,astutus,Bassariscus astutus,LC,Unknown,Global
Bird,"Roadrunner, Greater",Geococcyx,californianus,Geococcyx californianus,LC,Increasing,Global
Bird,"Roller, Blue-Bellied",Coracias,cyanogaster,Coracias cyanogaster,LC,Decreasing,Global
Mammal,"Saki, White-Faced",Pithecia,pithecia,Pithecia pithecia,LC,Decreasing,Global
Bird,"Screamer, Southern",Chauna,torquata,Chauna torquata,LC,Stable,Global
Mammal,"Sea Lion, California",Zalophus,californianus,Zalophus californianus,LC,Increasing,Global
Fish,"Seahorse, Big Bellied",Hippocampus,abdominalis,Hippocampus abdominalis,LC,Unknown,Global
Fish,"Seahorse, Lined",Hippocampus,erectus,Hippocampus erectus,VU,Decreasing,Global
Mammal,"Seal, Harbor",Phoca,vitulina,Phoca vitulina,LC,Unknown,Global
Bird,"Seriema, Red-Legged",Cariama,cristata,Cariama cristata,LC,Stable,Global
Mammal,Serval,Leptailurus,serval,Leptailurus serval,LC,Stable,Global
Bird,"Shama, White-rumped",Copsychus,malabaricus,Copsychus malabaricus,LC,Decreasing,Global
Fish,"Shark, Sand Tiger",Carcharias,taurus,Carcharias taurus,CR,Decreasing,Global
Fish,"Shark, Zebra",Stegostoma,tigrinum,Stegostoma tigrinum,EN,Decreasing,Global
Mammal,Siamang,Symphalangus,syndactylus,Symphalangus syndactylus,EN,Decreasing,Global
Reptile,"Skink, Prehensile-Tailed",Corucia,zebrata,Corucia zebrata,NT,Decreasing,Global
Mammal,"Sloth, Hoffman's Two-Toed",Choloepus,hoffmanni,Choloepus hoffmanni,LC,Decreasing,Global
Mammal,"Sloth, Linne's Two-Toed",Choloepus,didactylus,Choloepus didactylus,LC,Decreasing,Global
Bird,"Spoonbill, African",Platalea,alba,Platalea alba,LC,Stable,Global
Bird,"Spoonbill, Roseate",Platalea,ajaja,Platalea ajaja,LC,Stable,Global
Mammal,"Squirrel, Prevost's",Callosciurus,prevostii,Callosciurus prevostii,LC,Decreasing,Global
Bird,"Starling, Emerald",Lamprotornis,iris,Lamprotornis iris,LC,Unknown,Global
Bird,"Starling, Golden-Breasted",Lamprotornis,regius,Lamprotornis regius,LC,Stable,Global
Bird,"Starling, Violet-Backed (Amethyst)",Cinnyricinclus,leucogaster,Cinnyricinclus leucogaster,LC,Decreasing,Global
Bird,"Stilt, Black-Necked",Himantopus,himantopus,Himantopus himantopus,LC,Increasing,Global
Fish,"Stingray, White-Blotched River",Potamotrygon,leopoldi,Potamotrygon leopoldi,VU,Decreasing,Global
Bird,"Stork, Abdim's (White-Bellied)",Ciconia,abdimii,Ciconia abdimii,LC,Decreasing,Global
Bird,"Stork, Marabou",Leptoptilos,crumenifer,Leptoptilos crumenifer,LC,Increasing,Global
Bird,"Stork, Saddle-Billed",Ephippiorhynchus,senegalensis,Ephippiorhynchus senegalensis,LC,Decreasing,Global
Bird,"Stork, White",Ciconia,ciconia,Ciconia ciconia,LC,Increasing,Global
Bird,Sunbittern,Eurypyga,helias,Eurypyga helias,LC,Decreasing,Global
Bird,"Swan, Coscoroba",Coscoroba,coscoroba,Coscoroba coscoroba,LC,Stable,Global
Bird,"Swan, Trumpeter",Cygnus,buccinator,Cygnus buccinator,LC,Increasing,Global
Mammal,"Takin, Sichuan",Budorcas,taxicolor,Budorcas taxicolor,VU,Decreasing,Global
Mammal,"Tamandua, Southern",Tamandua,tetradactyla,Tamandua tetradactyla,LC,Unknown,Global
Mammal,"Tamarin, Bearded Emperor",Tamarinus,subgrisescens,Tamarinus subgrisescens,LC,Stable,Global
Mammal,"Tamarin, Cotton-Top",Oedipomidas,oedipus,Oedipomidas oedipus,CR,Decreasing,Global
Mammal,"Tamarin, Golden Lion",Leontopithecus,rosalia,Leontopithecus rosalia,EN,Decreasing,Global
Bird,"Tanager, Blue-Grey",Tangara,episcopus,Tangara episcopus,LC,Increasing,Global
Bird,"Tanager, Silver-Beaked",Ramphocelus,carbo,Ramphocelus carbo,LC,Stable,Global
Bird,"Tanager, Turquoise",Tangara,mexicana,Tangara mexicana,LC,Decreasing,Global
Mammal,"Tapir, Malayan (Asian)",Tapirus,indicus,Tapirus indicus,EN,Decreasing,Global
Bird,"Teal, Marbled",Marmaronetta,angustirostris,Marmaronetta angustirostris,NT,Decreasing,Global
Mammal,"Tenrec, Lesser Madagascar Hedgehog",Echinops,telfairi,Echinops telfairi,LC,Stable,Global
Bird,"Tern, Inca",Larosterna,inca,Larosterna inca,NT,Decreasing,Global
Mammal,"Tiger, Amur",Panthera,tigris,Panthera tigris,EN,Decreasing,Global
Mammal,"Tiger, Malayan",Panthera,tigris,Panthera tigris,EN,Decreasing,Global
Mammal,"Tiger, Sumatran",Panthera,tigris,Panthera tigris,EN,Decreasing,Global
Reptile,"Tortoise, African Pancake",Malacochersus,tornieri,Malacochersus tornieri,CR,Decreasing,Global
Reptile,"Tortoise, Burmese Black",Manouria,emys,Manouria emys,CR,Decreasing,Global
Reptile,"Tortoise, Burmese Brown Mountain",Manouria,emys,Manouria emys,CR,Decreasing,Global
Reptile,"Tortoise, Burmese Star",Geochelone,platynota,Geochelone platynota,CR,Increasing,Global
Reptile,"Tortoise, Egyptian",Testudo,kleinmanni,Testudo kleinmanni,CR,Decreasing,Global
Reptile,"Tortoise, Galapagos (microphyes)",Chelonoidis,microphyes,Chelonoidis microphyes,EN,Unknown,Global
Reptile,"Tortoise, Home's Hinge-Back",Kinixys,homeana,Kinixys homeana,CR,Decreasing,Global
Reptile,"Tortoise, Madagascar Flat-Tailed",Pyxis,planicauda,Pyxis planicauda,CR,Decreasing,Global
Reptile,"Tortoise, Madagascar Spider (Common)",Pyxis,arachnoides,Pyxis arachnoides,CR,Decreasing,Global
Reptile,"Tortoise, Madagascar Spider (Northern)",Pyxis,arachnoides,Pyxis arachnoides,CR,Decreasing,Global
Reptile,"Tortoise, Radiated",Astrochelys,radiata,Astrochelys radiata,CR,Decreasing,Global
Bird,"Toucan, Keel-Billed",Ramphastos,sulfuratus,Ramphastos sulfuratus,NT,Decreasing,Global
Bird,"Toucan, Toco",Ramphastos,toco,Ramphastos toco,LC,Decreasing,Global
Bird,"Tragopan, Cabot's",Tragopan,caboti,Tragopan caboti,VU,Decreasing,Global
Mammal,"Tree Kangaroo, Matschie's",Dendrolagus,matschiei,Dendrolagus matschiei,EN,Decreasing,Global
Mammal,"Tree Shrew, Northern",Tupaia,belangeri,Tupaia belangeri,LC,Stable,Global
Bird,"Troupial, Venezuelan",Icterus,icterus,Icterus icterus,LC,Stable,Global
Bird,"Trumpeter, Grey-Winged",Psophia,crepitans,Psophia crepitans,LC,Decreasing,Global
Bird,"Turaco, Great Blue",Corythaeola,cristata,Corythaeola cristata,LC,Decreasing,Global
Bird,"Turaco, Lady Ross'",Musophaga,rossae,Musophaga rossae,LC,Decreasing,Global
Bird,"Turaco, Red-Crested",Tauraco,erythrolophus,Tauraco erythrolophus,LC,Decreasing,Global
Bird,"Turaco, Violaceous",Musophaga,violacea,Musophaga violacea,LC,Stable,Global
Bird,"Turaco, White-Cheeked",Tauraco,leucotis,Tauraco leucotis,LC,Decreasing,Global
Reptile,"Turtle, Black-Breasted Leaf",Geoemyda,spengleri,Geoemyda spengleri,EN,Decreasing,Global
Reptile,"Turtle, Blanding's",Emydoidea,blandingii,Emydoidea blandingii,EN,Decreasing,Global
Reptile,"Turtle, Coahulian Box",Terrapene,coahuila,Terrapene coahulia,EN,Decreasing,Global
Reptile,"Turtle, Indochinese Box",Cuora,galbinifrons,Cuora galbinifrons,CR,Decreasing,Global
Reptile,"Turtle, Malaysian Giant",Orlitia,borneensis,Orlitia borneensis,CR,Decreasing,Global
Reptile,"Turtle, McCord's Box",Cuora,mccordi,Cuora mccordi,CR,Unspecified,Global
Reptile,"Turtle, Pan's Box",Cuora,pani,Cuora pani,CR,Unspecified,Global
Reptile,"Turtle, Rote Island Snake-Necked",Chelodina,mccordi,Chelodina mccordi,CR,Decreasing,Global
Reptile,"Turtle, Spiny",Heosemys,spinosa,Heosemys spinosa,EN,Decreasing,Global
Reptile,"Turtle, Spotted",Clemmys,guttata,Clemmys guttata,EN,Decreasing,Global
